% Model:              Simulacion Completa - copia.mph
% Version:            COMSOL 6.0.0.318
% Date:               Nov 1 2023, 10:47
% Dimension:          3
% Nodes:              21406
% Expressions:        2
% Description:        Temperatura
% Length unit:        m
% X                       Y                        Z                        T (K) @ t=98             T (K) @ t=119
-0.06123704095388113      0.0012554112748335857    0.09                     341.91760981341656       360.0682969754499
-0.05998674761453072      0.001256529547578872     0.09                     341.9176031902682        360.0682898657218
-0.059986747614530725     -0.0012565295475788778   0.08999999999999998      341.91760840141575       360.068275011504
-0.06123704095388114      0.001255411274833855     0.08900000000000001      341.9177026025664        360.0684046875819
-0.061237040953881126     -0.0012554112748339936   0.09                     341.9176133039343        360.0682809321058
-0.06123704095388114      -0.0012554112748337245   0.089                    341.91771001869563       360.0683935985402
-0.06113361565047621      -0.003764079441433913    0.09                     341.91753618595027       360.0681676190434
-0.06273738536739908      -0.0012536792099134767   0.08999999999999997      341.9175697620454        360.0682300020037
-0.06273738536739909      -0.001253679209913453    0.08900000000000002      341.91768291669473       360.0683619003046
-0.06263670272585599      -0.0037589916893106213   0.08999999999999998      341.9174899857474        360.0681132963985
-0.06418411750753784      -0.002854584107678073    0.09                     341.9174965901717        360.0681256268518
-0.06426798479385727      -9.999815646331044E-4    0.09                     341.9175550374377        360.0682100708129
-0.0645360469693289       -0.0013626597242117468   0.088575                 341.9176731242217        360.0683419963606
-0.066                    -0.002                   0.09                     341.9174662306029        360.0680871060938
-0.06422845026421582      9.282303235959438E-4     0.08875                  341.91766040259796       360.0683585687951
-0.06273738536739909      0.001253679209913598     0.09                     341.9175627070895        360.0682471249971
-0.06426798479385727      9.999815646331378E-4     0.09                     341.91754512240874       360.0682256681636
-0.06273738536739909      0.0012536792099136081    0.089                    341.91766742193056       360.06836698154177
-0.06442611960345242      0.003012578539149404     0.09                     341.9174730157943        360.0681459062261
-0.066                    0.002                    0.09                     341.9174576790156        360.0681257548659
-0.05566113853209339      -0.02555845667212122     0.09000000000000002      341.9141551584145        360.0641449349383
